Name,Industry,Sector,Headquarters,Founded,Notes,Status
S. Alam Group of Industries,Conglomerates,-,Chittagong,1985,"Food & beverage, basic materials, construction, oil & gas, industrial transportation, real estate",P
Sheltech,Financials,Real estate holding & development,Dhaka,1988,Real estate,P
Shyampur Sugar Mills,Consumer goods,Food products,Rangpur City,1967,Sugar; falls under the Bangladesh Sugar and Food Industries Corporation[7][8][9],S
Sikder Group,Conglomerate,,Dhaka,1950,"Textiles, power, real estate, healthcare, banking, insurance, aviation",P
Somoy TV,Consumer services,Broadcasting & entertainment,Dhaka,2010,24-hour news channel,P
Sonali Bank,Financials,Banks,Dhaka,1972,State-owned bank,S
Southeast Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank,P
Square Group,Health care,Pharmaceuticals,Dhaka,1958,Pharmaceuticals,P
STS Group,Health care,Conglomerates,Dhaka,1997,Education and healthcare,P
Summit Group,Conglomerates,-,Dhaka,1985,"Telecommunications, oil & gas, industrial transportation",P
T K Group of Industries,Conglomerates,-,Chittagong,1972,"Consumer goods, edible oil, paper, steel, tea, basic materials, industrial transportation, financials",P
The ACME Laboratories Ltd,Health care,Pharmaceuticals,Dhaka,1954,Pharmaceuticals,P
The Daily Ittefaq,Consumer services,Publishing,Dhaka,1953,Newspaper,P
The Daily Star,Consumer services,Publishing,Dhaka,1991,Newspaper,P
The Sangbad,Consumer services,Publishing,Dhaka,1951,Newspaper,P
Titas Gas,Oil & gas,Exploration & production,Dhaka,1964,Natural gas distributor,S
Transcom Group,Conglomerates,-,Dhaka,1985,"Beverage, pharma, newspaper, radio, electronics, foods",P
Trust Bank Limited,Financials,Banks,Dhaka,1999,Commercial bank,P
United Airways,Consumer services,Airlines,Dhaka,2005,"Private airline, defunct 2016[10]",P
United Finance,Financials,Financial services,Dhaka,1989,Financial services,P
United Group,Conglomerates,-,Dhaka,1978,"Power, manufacturing, healthcare, education, real estate, shipping, retail services",P
US-Bangla Airlines,Consumer services,Airlines,Dhaka,2013,Private airline,P
Uttara Bank Limited,Financials,Banks,Dhaka,1965,Private commercial bank,P
Walton,Conglomerates,-,Dhaka,1977,"Automobiles, consumer electronics, household goods, technology hardware, electronic equipment",P
Western Marine Shipyard,Industrials,Commercial vehicles & trucks,Chittagong,2000,Shipyard,P
